,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Toxic,In The Zone,Britney Spears,2003-11-13,198800,84,0.774,0.0249,0.838,0.025,0.242,-3.914,0.114,143.04,4
1,...Baby One More Time,...Baby One More Time (Digital Deluxe Version),Britney Spears,1999-01-12,211066,81,0.759,0.202,0.699,0.000131,0.443,-5.745,0.0307,92.96,4
2,Gimme More,Blackout,Britney Spears,2007-10-25,251240,81,0.788,0.25,0.844,0.000678,0.0723,-3.131,0.0334,113.324,4
3,Oops!...I Did It Again,Oops!... I Did It Again,Britney Spears,2000-05-16,211160,80,0.751,0.3,0.834,1.77e-05,0.355,-5.444,0.0437,95.053,4
4,(You Drive Me) Crazy,...Baby One More Time (Digital Deluxe Version),Britney Spears,1999-01-12,198066,68,0.748,0.0534,0.939,0.0,0.32,-4.288,0.0341,104.001,4
5,Womanizer,Circus (Deluxe Version),Britney Spears,2008-12-02,224400,78,0.724,0.073,0.695,0.0,0.0889,-5.226,0.0622,139.0,4
6,Circus,Circus (Deluxe Version),Britney Spears,2008-12-02,192360,76,0.791,0.147,0.733,0.000381,0.0713,-5.215,0.052,114.98,4
7,Scream & Shout,#willpower,will.i.am,2013-01-01,283400,80,0.772,0.019,0.685,8.96e-05,0.131,-6.849,0.0696,130.033,4
8,I'm a Slave 4 U,Britney (Digital Deluxe Version),Britney Spears,2001-10-31,203600,72,0.847,0.415,0.843,0.000134,0.107,-3.579,0.106,110.027,4
9,Hold Me Closer,Hold Me Closer,Elton John,2022-08-26,202245,81,0.667,0.0746,0.75,0.000198,0.197,-4.602,0.0906,126.041,4
10,Sometimes,...Baby One More Time (Digital Deluxe Version),Britney Spears,1999-01-12,245066,71,0.745,0.42,0.742,0.0,0.102,-5.693,0.0259,95.996,4
11,If U Seek Amy,Circus (Deluxe Version),Britney Spears,2008-12-02,216520,72,0.717,0.0192,0.587,0.0,0.0523,-7.296,0.0339,129.954,4
12,Lucky,Oops!... I Did It Again,Britney Spears,2000-05-16,206226,69,0.765,0.262,0.791,0.000154,0.0669,-5.707,0.0317,95.026,4
13,Everytime,In The Zone,Britney Spears,2003-11-13,230306,68,0.398,0.966,0.284,8.57e-05,0.116,-12.852,0.0337,109.599,4
14,Hold Me Closer,The Lockdown Sessions,Elton John,2021-10-22,202245,63,0.658,0.0798,0.783,0.00018,0.187,-4.615,0.113,126.027,4
15,Work Bitch,Britney Jean (Deluxe Version),Britney Spears,2013-11-30,247960,71,0.629,0.155,0.824,0.000628,0.0651,-6.53,0.159,128.01,4
16,Piece of Me,Blackout,Britney Spears,2007-10-25,212106,66,0.769,0.0902,0.638,0.0,0.0857,-5.054,0.216,115.007,4
17,Criminal,Femme Fatale (Deluxe Version),Britney Spears,2011-03-28,225080,73,0.696,0.0485,0.734,0.0,0.183,-5.294,0.0298,107.987,4
18,Stronger,Oops!... I Did It Again,Britney Spears,2000-05-16,203000,68,0.707,0.128,0.923,0.000437,0.273,-3.957,0.0521,108.049,4
19,Till the World Ends,Femme Fatale (Deluxe Version),Britney Spears,2011-03-28,237946,67,0.693,0.0228,0.705,0.0,0.202,-5.747,0.0665,131.951,4
20,I Wanna Go,Femme Fatale (Deluxe Version),Britney Spears,2011-03-28,210266,69,0.696,0.00379,0.546,3.8e-06,0.332,-6.55,0.0414,130.002,4
21,Toxic Pony,Toxic Pony,ALTÉGO,2022-01-21,198041,69,0.775,0.00757,0.652,0.000598,0.105,-9.906,0.152,143.08,4
22,Toxic,Greatest Hits: My Prerogative,Britney Spears,2004,198813,57,0.774,0.0279,0.847,0.0183,0.241,-3.925,0.121,143.011,4
23,...Baby One More Time,Greatest Hits: My Prerogative,Britney Spears,2004,211160,41,0.757,0.185,0.725,5.56e-05,0.568,-4.86,0.0315,92.96,4
24,Overprotected - Radio Edit,Britney (Digital Deluxe Version),Britney Spears,2001-10-31,198600,64,0.682,0.0381,0.894,0.0,0.416,-1.73,0.0727,95.992,4
25,My Only Wish (This Year),Top Christmas Songs,Various Artists,2023-05-16,255121,0,0.655,0.108,0.697,0.0,0.163,-8.704,0.0269,147.064,4
26,3,The Essential Britney Spears,Britney Spears,2014-07-29,205533,51,0.701,0.0518,0.72,0.0,0.199,-1.948,0.0475,134.962,4
27,3,The Singles Collection,Britney Spears,2009-11-09,213173,63,0.697,0.0452,0.709,0.0,0.138,-1.917,0.0455,134.91,4
28,My Only Wish (This Year),Holiday Hits 2023,Various Artists,2023-05-16,255121,0,0.655,0.108,0.697,0.0,0.163,-8.704,0.0269,147.064,4
29,"I'm Not a Girl, Not Yet a Woman",Britney (Digital Deluxe Version),Britney Spears,2001-10-31,231066,62,0.534,0.579,0.543,0.0,0.112,-6.857,0.0245,78.996,4
30,My Only Wish (This Year),All I Want for Christmas Is You: Holiday Songs,Various Artists,2023-05-16,255121,0,0.655,0.108,0.697,0.0,0.163,-8.704,0.0269,147.064,4
31,(You Drive Me) Crazy - The Stop Remix!,Greatest Hits: My Prerogative,Britney Spears,2004,198426,46,0.677,0.0931,0.965,0.000108,0.345,-2.355,0.0426,101.068,4
32,My Prerogative,Greatest Hits: My Prerogative,Britney Spears,2004,213893,48,0.751,0.0122,0.937,0.0,0.0639,-4.436,0.108,111.029,4
33,Make Me... (feat. G-Eazy),Glory (Deluxe),Britney Spears,2020-12-11,230253,57,0.697,0.161,0.695,0.0,0.221,-6.631,0.112,123.001,4
34,Me Against the Music (feat. Madonna) - LP Version / Video Mix,In The Zone,Britney Spears,2003-11-13,223773,61,0.804,0.32,0.836,0.0,0.213,-6.635,0.089,120.046,4
35,Break the Ice,Blackout,Britney Spears,2007-10-25,196053,62,0.712,0.689,0.911,8.02e-06,0.107,-3.866,0.0445,117.533,4
36,Showdown,In The Zone,Britney Spears,2003-11-13,196146,45,0.835,0.0501,0.762,0.0211,0.0254,-3.574,0.0706,95.004,4
37,Oops!...I Did It Again,Greatest Hits: My Prerogative,Britney Spears,2004,212613,33,0.752,0.301,0.845,2.49e-05,0.213,-4.913,0.0447,95.058,4
38,Hold Me Closer - Joel Corry Remix,Hold Me Closer (Joel Corry Remix),Elton John,2022-10-07,248594,66,0.642,0.0173,0.887,5.75e-05,0.246,-5.439,0.0416,125.994,4
39,Breathe on Me,In The Zone,Britney Spears,2003-11-13,223760,55,0.709,0.00209,0.565,0.0125,0.0901,-6.395,0.0471,112.203,4
40,Perfume,Britney Jean (Deluxe Version),Britney Spears,2013-11-30,239973,53,0.39,0.452,0.557,0.0,0.125,-6.344,0.0521,79.34,4
41,Hold It Against Me,Femme Fatale (Deluxe Version),Britney Spears,2011-03-28,228826,59,0.648,0.0103,0.722,0.0,0.24,-4.813,0.0427,132.973,4
42,SMS (Bangerz) (feat. Britney Spears),Bangerz (Deluxe Version),Miley Cyrus,2013-10-04,169440,52,0.837,0.0188,0.914,0.000278,0.0969,-4.247,0.0511,139.029,4
43,Outrageous,In The Zone,Britney Spears,2003-11-13,201906,53,0.828,0.0394,0.662,2.02e-05,0.191,-6.419,0.0461,105.014,4
44,Britney Spears,Excuse Me,Allday,2022-10-06,194506,28,0.715,0.101,0.539,4.37e-06,0.133,-6.918,0.127,90.047,4
45,Till The World Ends (the Femme Fatale Remix) (feat. Nicki Minaj & Ke$ha),Till The World Ends (the Femme Fatale Remix) (feat. Nicki Minaj & Ke$ha),Britney Spears,2011-04-22,284226,47,0.686,0.0382,0.791,0.0,0.173,-4.513,0.0672,131.985,4
46,Born to Make You Happy,...Baby One More Time (Digital Deluxe Version),Britney Spears,1999-01-12,243533,63,0.633,0.116,0.922,0.000465,0.071,-4.842,0.0454,84.11,4
47,(I Got That) Boom Boom (feat. Ying Yang Twins),In The Zone,Britney Spears,2003-11-13,289400,51,0.864,0.119,0.87,0.0,0.508,-2.77,0.147,109.987,4
48,Toxic - Y2K & Alexander Lewis Remix,Toxic (Y2K & Alexander Lewis Remix),Britney Spears,2020-01-31,106329,58,0.747,0.0178,0.468,0.0131,0.199,-9.401,0.218,157.98,4
49,(Drop Dead) Beautiful (feat. Sabi),Femme Fatale (Deluxe Version),Britney Spears,2011-03-28,216400,45,0.772,0.0414,0.768,0.0,0.0903,-4.52,0.0741,119.959,4
